n_neurons,step,D0,R2_D0,D1,R2_D1,total_overlap_area,total_overlap_percentage,mean_soma_distance,std_soma_distance
8,3,"0    1.448075
Name: D0, dtype: float64","0    0.997593
Name: R2_D0, dtype: float64","0    1.442233
Name: D1, dtype: float64","0    0.998597
Name: R2_D1, dtype: float64",231,0.07517402298177274,1723.7933635214442,566.1070663249983
8,4,"0    1.464799
Name: D0, dtype: float64","0    0.997422
Name: R2_D0, dtype: float64","0    1.457106
Name: D1, dtype: float64","0    0.998552
Name: R2_D1, dtype: float64",521,0.16957537804568446,1616.0981894537615,530.7391392626805
8,5,"0    1.482696
Name: D0, dtype: float64","0    0.997448
Name: R2_D0, dtype: float64","0    1.472681
Name: D1, dtype: float64","0    0.998451
Name: R2_D1, dtype: float64",620,0.2017874462171363,1508.4030165661723,495.371212795738
8,6,"0    1.502529
Name: D0, dtype: float64","0    0.997369
Name: R2_D0, dtype: float64","0    1.491539
Name: D1, dtype: float64","0    0.998298
Name: R2_D1, dtype: float64",929,0.3022583153572602,1400.707845130876,460.0032870614997
8,7,"0    1.527607
Name: D0, dtype: float64","0    0.99731
Name: R2_D0, dtype: float64","0    1.516675
Name: D1, dtype: float64","0    0.998206
Name: R2_D1, dtype: float64",1163,0.3784070462450503,1293.0126755107565,424.63536224304704
8,8,"0    1.549538
Name: D0, dtype: float64","0    0.997312
Name: R2_D0, dtype: float64","0    1.538364
Name: D1, dtype: float64","0    0.998018
Name: R2_D1, dtype: float64",1904,0.6194831350271512,1185.3175082005832,389.2674385899991
8,9,"0    1.576905
Name: D0, dtype: float64","0    0.997508
Name: R2_D0, dtype: float64","0    1.566961
Name: D1, dtype: float64","0    0.997998
Name: R2_D1, dtype: float64",3165,1.029760568466877,1077.6223438929069,353.89951645176103
8,10,"0    1.603986
Name: D0, dtype: float64","0    0.997733
Name: R2_D0, dtype: float64","0    1.595477
Name: D1, dtype: float64","0    0.998219
Name: R2_D1, dtype: float64",4175,1.3583729457659435,969.9271835878677,318.5315963329231
8,11,"0    1.62268
Name: D0, dtype: float64","0    0.998272
Name: R2_D0, dtype: float64","0    1.626024
Name: D1, dtype: float64","0    0.998503
Name: R2_D1, dtype: float64",5978,1.9449948430631878,862.2320287852845,283.1636789901766
8,12,"0    1.64718
Name: D0, dtype: float64","0    0.998757
Name: R2_D0, dtype: float64","0    1.664062
Name: D1, dtype: float64","0    0.998717
Name: R2_D1, dtype: float64",8039,2.615559308026927,754.5368818412524,247.7957656122298
8,13,"0    1.672612
Name: D0, dtype: float64","0    0.998931
Name: R2_D0, dtype: float64","0    1.691446
Name: D1, dtype: float64","0    0.99891
Name: R2_D1, dtype: float64",12289,3.998334162998246,646.8417466809622,212.42785817945577
8,14,"0    1.693746
Name: D0, dtype: float64","0    0.999293
Name: R2_D0, dtype: float64","0    1.723562
Name: D1, dtype: float64","0    0.999215
Name: R2_D1, dtype: float64",15351,4.994582776156407,539.146630365833,177.0599602545989
8,15,"0    1.717037
Name: D0, dtype: float64","0    0.99956
Name: R2_D0, dtype: float64","0    1.752166
Name: D1, dtype: float64","0    0.999438
Name: R2_D1, dtype: float64",20808,6.770065689939581,431.45154700766636,141.69207895776248
8,16,"0    1.72626
Name: D0, dtype: float64","0    0.999669
Name: R2_D0, dtype: float64","0    1.773979
Name: D1, dtype: float64","0    0.999647
Name: R2_D1, dtype: float64",26980,8.778180138147341,323.7565294947356,106.32423088355941
8,17,"0    1.750808
Name: D0, dtype: float64","0    0.999719
Name: R2_D0, dtype: float64","0    1.792361
Name: D1, dtype: float64","0    0.999758
Name: R2_D1, dtype: float64",34327,11.168591163905997,216.06167628557566,70.95646571795709
8,18,"0    1.774291
Name: D0, dtype: float64","0    0.999723
Name: R2_D0, dtype: float64","0    1.804774
Name: D1, dtype: float64","0    0.999743
Name: R2_D1, dtype: float64",40686,13.237547705732498,108.36747719332281,35.589030762544425
8,19,"0    1.767006
Name: D0, dtype: float64","0    0.999626
Name: R2_D0, dtype: float64","0    1.799505
Name: D1, dtype: float64","0    0.999709
Name: R2_D1, dtype: float64",41469,13.492303637836626,0.8554947117483541,0.5141053323355762
