d_measured,depth,D,mean_branches,n_primary_dendrites,branch_angle,total_length,num_neurons
1.248723,6.0,1.7175539,1.0436113,5.0,0.6363782,919.4801,27.0
1.5485879,5.0,1.3256298,1.3380271,6.0,0.7746168,805.60406,14.0
1.3478397,3.0,1.5634454,1.5666597,4.0,1.7575967,119.99257,29.0
1.5471393,5.0,1.1560172,1.2325578,6.0,0.4531131,900.29114,14.0
1.4504673,4.0,1.8283187,1.5147365,3.0,0.12587914,551.35803,12.0
1.5184458,4.0,1.3984038,1.5934438,7.0,1.3867804,366.23636,24.0
1.4757679,7.0,1.9391251,1.5856959,5.0,1.4676588,348.21176,11.0
1.5882294,6.0,1.5237017,1.7552149,3.0,0.8070628,972.9354,14.0
1.2663965,9.0,1.7797409,1.9067433,4.0,2.9894621,933.0928,24.0
1.2878942,10.0,1.5908202,1.4496323,7.0,1.4294108,550.2669,21.0
1.4280359,11.0,1.3650367,1.9850396,5.0,0.62045634,757.7994,26.0
1.5106305,6.0,1.1460738,1.8992622,3.0,2.9999778,883.1377,7.0
1.4736423,6.0,1.8664372,1.3478808,6.0,1.5651994,273.46753,26.0
1.4652771,5.0,1.7769676,1.7901211,7.0,2.3469605,379.44498,15.0
1.2307205,11.0,1.852876,1.5937771,5.0,0.456169,120.08919,15.0
1.2822013,8.0,1.7125796,1.904118,4.0,2.343423,130.76187,22.0
1.6135327,6.0,1.7607151,1.6606213,5.0,1.8987354,769.7762,8.0
1.4246854,10.0,1.101847,1.55542,7.0,2.6527052,846.864,27.0
1.5752631,6.0,1.2681569,1.8602673,7.0,1.8632255,463.57883,3.0
1.3793834,7.0,1.7662377,1.991983,7.0,0.57111925,634.8202,16.0
1.5587635,6.0,1.4417255,1.7289753,6.0,1.1633337,333.61514,18.0
1.5475528,7.0,1.4258909,1.1163073,3.0,2.6637616,466.16446,30.0
1.5465952,6.0,1.5732156,1.6905609,3.0,1.1062237,528.0019,11.0
1.2916214,3.0,1.003422,1.2854445,6.0,2.4086514,145.32886,12.0
1.3439493,10.0,1.5093329,1.6323681,6.0,1.0570607,757.5354,20.0
1.2742423,7.0,1.8361694,1.084423,8.0,1.5103735,507.75912,25.0
1.5214119,9.0,1.1755105,1.3159393,4.0,0.14860325,331.2161,29.0
1.4472566,7.0,1.7146498,1.9047751,4.0,0.17097086,657.439,19.0
1.5035439,3.0,1.9526637,1.3794451,5.0,0.82047015,615.3581,21.0
1.3335434,3.0,1.7053827,1.8354926,4.0,0.297611,310.69614,9.0
1.2011905,11.0,1.7979212,1.4644107,4.0,0.8759871,825.7935,17.0
1.4834068,3.0,1.942367,1.0597022,4.0,0.21191774,398.25558,28.0
1.5739986,4.0,1.794053,1.9046792,7.0,1.6564486,775.0753,9.0
1.3527858,8.0,1.5662493,1.3229389,7.0,2.3451562,895.3266,23.0
1.4548377,3.0,1.2774874,1.240075,6.0,1.030731,230.21616,16.0
1.418324,6.0,1.0972273,1.3411016,6.0,0.9402829,219.11662,6.0
1.1637136,7.0,1.4930894,1.2342728,8.0,1.8876067,814.78784,30.0
1.4020423,4.0,1.6408265,1.0164204,3.0,2.053646,586.31335,3.0
1.2836686,10.0,1.406515,1.6501508,7.0,2.5509577,889.0135,28.0
1.3695548,6.0,1.2086822,1.6048987,4.0,1.4815725,231.35313,8.0
1.3557965,10.0,1.8719358,1.8323919,5.0,1.5319786,329.5065,6.0
1.4639635,9.0,1.6065297,1.5641028,4.0,0.1099747,402.8631,22.0
1.6412934,9.0,1.1765949,1.9978056,3.0,0.79986304,746.50464,18.0
1.5784923,6.0,1.0510567,1.4705565,3.0,0.70318305,628.64075,18.0
1.4860735,9.0,1.030401,1.501165,5.0,2.339733,167.78632,29.0
1.4325384,7.0,1.5064975,1.8502353,6.0,1.4960088,538.99915,28.0
1.3360665,7.0,1.3527906,1.3062727,3.0,2.36005,163.74257,20.0
1.535426,6.0,1.9748592,1.3307112,4.0,2.143868,829.7898,6.0
1.312261,10.0,1.8455553,1.0536219,7.0,1.3917726,426.11603,26.0
1.3973458,4.0,1.3182365,1.0659003,7.0,3.033794,519.6753,4.0
1.3071827,8.0,1.5669999,1.7764051,5.0,2.6592095,881.0719,24.0
1.2988002,5.0,1.8350605,1.9454513,5.0,1.8690376,237.61589,4.0
1.388433,9.0,1.7422857,1.8087844,5.0,3.0897424,192.72095,23.0
1.1990255,5.0,1.5027398,1.1344994,7.0,1.7684609,133.77437,3.0
1.4360101,10.0,1.697813,1.928084,6.0,3.1267388,354.74838,18.0
0.96624637,11.0,1.5955843,1.8955501,7.0,1.525742,963.57294,23.0
1.2650814,9.0,1.9996039,1.1065826,8.0,1.0248984,134.92587,15.0
1.5811642,4.0,1.5574387,1.6185917,8.0,1.3558141,583.00977,8.0
1.5130264,3.0,1.6244491,1.487439,7.0,0.6515697,851.5376,8.0
1.1935028,7.0,1.8256046,1.2567219,4.0,1.8156925,135.0312,7.0
1.350642,5.0,1.3946028,1.1115541,7.0,0.44312382,926.04,24.0
1.2656212,10.0,1.6993912,1.9362677,5.0,1.2929981,101.939285,20.0
1.5257491,5.0,1.6337439,1.9139642,4.0,1.2209738,917.62946,19.0
1.4889947,6.0,1.6845063,1.2107377,6.0,1.9573759,588.1569,13.0
1.5279843,8.0,1.3420142,1.165755,6.0,1.5451108,294.34915,25.0
1.417138,4.0,1.6193134,1.0104731,5.0,2.3226326,244.04402,19.0
1.4354407,3.0,1.5756313,1.602286,5.0,2.4407372,691.98303,26.0
1.423454,7.0,1.8265753,1.9142854,6.0,2.4743443,180.839,26.0
1.4851658,4.0,1.815096,1.4522947,5.0,0.42964834,361.2559,12.0
1.5318872,7.0,1.0895144,1.2070885,6.0,1.7845429,590.65137,24.0
1.4595335,4.0,1.9036359,1.8975182,5.0,0.35108227,718.7734,20.0
1.4378195,6.0,1.699863,1.2679718,7.0,1.7393411,437.10867,21.0
1.5741153,3.0,1.2964251,1.9275424,6.0,2.861129,911.7304,12.0
1.4322608,8.0,1.8517492,1.2752522,4.0,0.5016267,428.04626,4.0
1.6502765,10.0,1.3503135,1.9614215,3.0,3.10579,862.4448,18.0
1.5418848,5.0,1.3068447,1.6872952,5.0,2.1731915,567.16534,6.0
1.488498,11.0,1.570363,1.1895329,6.0,0.41324282,997.9078,5.0
1.0578275,4.0,1.5301824,1.2930127,3.0,2.873883,79.931145,6.0
1.3694845,7.0,1.4593748,1.0816944,8.0,2.9952245,572.6599,24.0
1.3836322,11.0,1.3489828,1.9013304,5.0,0.1218283,148.57056,20.0
1.5859321,8.0,1.4242548,1.1407523,5.0,1.6526326,922.17975,6.0
1.5358428,9.0,1.3367223,1.1136414,6.0,2.5441551,946.67206,9.0
1.6178812,10.0,1.2532419,1.9263669,3.0,2.992307,428.85422,19.0
0.8453659,9.0,1.6515875,1.3659288,8.0,0.87160087,951.3275,29.0
1.5975025,4.0,1.2579926,1.2290502,7.0,2.2084682,642.43445,10.0
1.5529435,7.0,1.0563415,1.9350451,6.0,0.023636527,971.8989,7.0
1.566705,4.0,1.1751723,1.4980278,8.0,1.2920953,803.50543,14.0
1.1951163,9.0,1.9047191,1.4309689,7.0,0.76032263,660.2975,22.0
1.3987755,5.0,1.4132919,1.5530833,8.0,2.03608,465.12344,28.0
1.4842592,7.0,1.4529121,1.9439774,7.0,0.782069,245.1695,8.0
1.5889281,10.0,1.4347649,1.9286838,6.0,1.0107702,409.48178,9.0
1.6151838,5.0,1.2173387,1.8680655,4.0,1.541534,352.68616,23.0
1.4826245,7.0,1.7071453,1.5754435,4.0,0.30612558,516.4363,13.0
1.530522,10.0,1.1893162,1.132912,3.0,1.3421433,264.7406,29.0
1.5353807,7.0,1.0485804,1.2174058,6.0,0.52246004,899.48615,18.0
1.3599982,11.0,1.0188465,1.7942744,7.0,2.989056,276.7392,3.0
1.4475284,5.0,1.9282587,1.3269522,7.0,2.7417912,211.02876,30.0
1.4832028,9.0,1.5755332,1.3953049,6.0,0.1431341,434.407,8.0
1.5459647,6.0,1.2523677,1.7324474,8.0,2.045141,645.13086,3.0
1.5581274,8.0,1.308561,1.1268506,6.0,0.42662358,594.86426,12.0
1.6188178,8.0,1.357402,1.7088264,7.0,2.575827,730.89325,5.0
1.5572847,5.0,1.108982,1.8077962,7.0,0.6020644,419.2207,26.0
1.3843447,9.0,1.8813909,1.3764964,7.0,2.279485,249.8998,19.0
1.5679595,4.0,1.2185893,1.0723724,5.0,1.563404,467.47507,22.0
1.32631,8.0,1.3637906,1.4360042,7.0,0.74882215,619.2775,26.0
1.2347367,4.0,1.8953583,1.48166,5.0,0.14340773,96.9156,17.0
1.4436936,8.0,1.6927944,1.6799577,8.0,0.8995497,321.8314,7.0
1.5391865,9.0,1.4780827,1.9656588,4.0,1.32412,518.3579,5.0
1.6192967,10.0,1.0315732,1.6601433,6.0,0.78254265,611.2711,22.0
1.4265934,9.0,1.0904905,1.098151,5.0,1.0601243,867.0623,24.0
1.4929055,5.0,1.8345146,1.1117922,7.0,2.0474596,671.4424,9.0
1.3140618,8.0,1.4851134,1.3429254,5.0,0.6766457,726.32007,30.0
1.5137194,7.0,1.1670084,1.0019124,6.0,1.4323801,723.66693,18.0
1.2461938,11.0,1.2202466,1.1177412,4.0,1.8032628,182.64479,4.0
1.4722095,6.0,1.9315294,1.1058536,4.0,0.21436153,316.5348,28.0
1.4253619,10.0,1.7938641,1.922326,3.0,0.19430724,407.9013,15.0
1.4915833,6.0,1.7854829,1.2173585,5.0,1.6631451,618.148,7.0
1.5243648,3.0,1.5226966,1.3661437,4.0,1.3574862,893.5031,17.0
1.3008705,4.0,1.3655357,1.4443183,8.0,0.14219403,136.7699,15.0
1.0457184,9.0,1.8990638,1.390104,8.0,1.31772,714.1252,24.0
1.3420969,7.0,1.7602252,1.8244876,6.0,0.25106004,953.46405,17.0
1.4002461,6.0,1.5980374,1.7141799,3.0,0.22932126,259.6731,16.0
1.4364663,4.0,1.8435416,1.2321658,3.0,1.0934407,764.54535,7.0
1.394453,8.0,1.1336603,1.4745193,7.0,0.33447295,794.3364,27.0
1.223551,3.0,1.523051,1.7492844,7.0,1.7766871,138.96706,4.0
1.5084332,5.0,1.318193,1.9254581,7.0,0.058741234,955.3416,13.0
1.5221796,8.0,1.6084887,1.2578253,3.0,2.5764444,434.0886,25.0
1.4526097,10.0,1.4436527,1.1579819,4.0,0.50513446,434.3438,30.0
1.0355909,8.0,1.6583245,1.9283653,4.0,2.2329931,56.22818,8.0
1.4534775,4.0,1.8277113,1.375635,8.0,3.0042996,431.7306,8.0
1.6158396,10.0,1.3312179,1.7051872,4.0,1.8139747,390.2703,18.0
1.4578314,8.0,1.9002982,1.732714,4.0,0.41574654,652.8063,6.0
1.4589198,4.0,1.8961984,1.124187,5.0,0.2027902,217.4723,29.0
1.5606186,10.0,1.0404112,1.8851768,8.0,2.5329604,425.59222,27.0
1.4524145,6.0,1.7341578,1.2824308,8.0,2.8453035,304.5584,15.0
1.1930294,8.0,1.6802732,1.4263215,3.0,2.1041138,145.13214,10.0
1.342402,4.0,1.5775398,1.3111378,5.0,3.0576851,278.90436,12.0
1.4538333,6.0,1.0905817,1.9552342,3.0,0.2849812,211.30243,21.0
1.571738,6.0,1.543082,1.6639421,5.0,2.345779,642.7835,6.0
1.4641666,4.0,1.4000161,1.8833503,7.0,3.020252,653.41614,19.0
1.5885018,8.0,1.1929326,1.9816502,5.0,2.9887788,376.5556,19.0
1.4718657,6.0,1.3744242,1.7291383,5.0,0.8524552,831.1737,23.0
1.4244554,10.0,1.0360292,1.5199724,4.0,2.1849859,250.10727,7.0
1.5697566,9.0,1.5619371,1.3695073,6.0,1.868486,710.6933,9.0
1.0573686,10.0,1.5717704,1.6756847,8.0,1.0142201,863.6368,29.0
1.2729785,10.0,1.7834666,1.460241,4.0,0.7491593,986.5891,20.0
1.4974061,10.0,1.6602778,1.6031007,3.0,0.18417467,403.8972,20.0
1.2966067,5.0,1.8238729,1.3932459,7.0,0.8042138,826.8954,19.0
1.4629251,8.0,1.4880614,1.2827488,6.0,0.5644305,284.38785,9.0
1.5749029,8.0,1.4883692,1.0825142,3.0,1.4711053,986.781,8.0
1.3897732,8.0,1.7223562,1.5424769,5.0,2.401182,314.37827,9.0
1.4075524,8.0,1.32026,1.7092648,8.0,0.52965224,928.2307,16.0
1.4902748,4.0,1.5274776,1.4290086,6.0,2.2379167,363.99954,25.0
1.4384539,5.0,1.9060572,1.9063218,6.0,1.0732638,290.13824,26.0
1.583984,11.0,1.0475757,1.1317016,4.0,3.0844655,502.4838,13.0
1.5422937,7.0,1.4097587,1.7231234,5.0,3.0871456,986.06006,14.0
1.5649608,11.0,1.1774361,1.1171278,8.0,2.9711046,818.2027,3.0
1.3409066,8.0,1.5190716,1.321878,5.0,1.3001251,224.2788,7.0
1.4750501,6.0,1.7046024,1.2813066,4.0,1.6546203,422.24155,29.0
1.277061,6.0,1.8902396,1.6716461,4.0,1.0058498,992.55255,25.0
1.4525102,6.0,1.5484754,1.1218432,8.0,1.2219839,669.94324,12.0
1.4879538,7.0,1.3531204,1.9483747,5.0,1.2614411,326.76587,7.0
1.4668624,11.0,1.4964099,1.6273973,5.0,1.8610587,329.20258,25.0
1.4538425,6.0,1.9162148,1.4545444,4.0,0.21419866,604.7315,25.0
1.3447744,6.0,1.7685816,1.9294667,5.0,0.34855273,987.20557,19.0
1.4478637,8.0,1.0707498,1.1143134,8.0,2.724189,647.69244,20.0
1.4933481,6.0,1.7472745,1.1567172,3.0,2.965952,848.09784,18.0
1.5803982,5.0,1.5362659,1.980499,4.0,2.8120108,966.2532,13.0
1.5562611,5.0,1.6340188,1.6188376,5.0,1.2643611,677.79706,8.0
1.4407783,6.0,1.8778241,1.2377534,4.0,1.0587784,941.8814,19.0
1.5991392,6.0,1.4663923,1.7807668,5.0,0.8828449,625.519,9.0
1.465427,3.0,1.4690001,1.9292374,7.0,3.129852,854.6821,16.0
1.3170044,4.0,1.8831942,1.0537993,6.0,2.8623676,190.58351,11.0
1.0353223,10.0,1.9789603,1.7419646,3.0,2.0048811,50.914555,8.0
1.5139794,9.0,1.3131512,1.4383801,4.0,0.30690673,744.0951,13.0
1.5074129,4.0,1.894968,1.9472741,6.0,3.022449,597.9249,11.0
1.4830596,4.0,1.75029,1.9737195,4.0,2.3894,229.86148,29.0
1.4123603,10.0,1.5233719,1.2227458,4.0,3.0177567,836.694,19.0
1.3448195,6.0,1.1126592,1.1077392,4.0,2.042996,227.34778,7.0
1.6319083,10.0,1.0519811,1.5944424,7.0,1.102729,376.14197,22.0
1.256751,4.0,1.2802414,1.2728406,8.0,0.020350259,150.28532,4.0
1.3960744,4.0,1.4393052,1.2076181,7.0,1.8324434,122.4347,26.0
1.5172935,7.0,1.955648,1.3212951,6.0,2.4332058,791.23926,8.0
1.5244279,10.0,1.3836932,1.6020056,4.0,0.4622209,764.1494,16.0
1.5248468,6.0,1.5548909,1.9609729,8.0,2.5601494,444.86374,14.0
1.1703519,4.0,1.277674,1.6951845,4.0,1.557428,124.03894,5.0
1.4169395,3.0,1.8549666,1.4702121,7.0,2.1687806,448.1366,28.0
1.3671982,9.0,1.8242071,1.2413557,7.0,2.5181315,554.6505,13.0
1.5502261,11.0,1.214146,1.9290236,8.0,1.5673447,544.49786,19.0
1.1685666,8.0,1.0710572,1.9452367,4.0,2.9366417,89.14453,21.0
1.4757196,8.0,1.6313581,1.1618354,6.0,0.92539066,311.0621,20.0
1.352946,8.0,1.814257,1.0918756,5.0,2.624187,767.89764,28.0
1.221742,6.0,1.8718321,1.0070047,6.0,3.1240306,122.9752,13.0
1.5155042,5.0,1.8313782,1.1512632,6.0,1.3604347,403.21844,20.0
1.5816188,4.0,1.2207037,1.9250659,4.0,2.0097017,540.9603,28.0
1.3800867,5.0,1.8536166,1.5935755,6.0,1.812562,446.3667,29.0
1.4492962,4.0,1.7710167,1.4782041,4.0,2.1069126,826.7767,24.0
1.6150335,5.0,1.1453022,1.8800759,6.0,0.85042125,404.53876,12.0
1.6284482,10.0,1.1610368,1.5400493,5.0,1.260006,412.1082,7.0
1.4370219,5.0,1.851461,1.9865875,5.0,2.3431802,296.81412,13.0
1.5978531,6.0,1.1701019,1.8666761,7.0,2.0811913,971.3348,10.0
1.4710753,11.0,1.6189181,1.4681413,3.0,1.2242426,459.3011,20.0
1.544792,6.0,1.0979344,1.2302363,4.0,0.05218506,503.37347,25.0
1.5479212,4.0,1.890401,1.5184745,7.0,2.0073915,867.74274,5.0
1.6043352,4.0,1.0818467,1.9809794,5.0,1.5607398,967.42084,6.0
1.5257702,8.0,1.3897774,1.7246287,5.0,0.5882724,310.17856,9.0
1.5004364,5.0,1.7971927,1.8414937,5.0,1.0527729,474.16882,4.0
1.537718,10.0,1.1364194,1.2335955,5.0,1.5619678,936.2897,13.0
1.4231902,7.0,1.6102184,1.0581487,7.0,0.57010007,262.1002,22.0
1.5967963,7.0,1.1690053,1.8291825,4.0,0.8390409,932.8157,21.0
1.1738986,11.0,1.1951926,1.0829697,5.0,2.911364,115.43039,11.0
1.4624153,4.0,1.101718,1.6466064,6.0,0.10828355,846.50616,4.0
1.356723,9.0,1.2317563,1.9389766,6.0,2.136203,175.8826,12.0
1.4484203,7.0,1.5870997,1.6064695,7.0,0.7393199,227.47237,12.0
1.6865823,11.0,1.0006204,1.8047773,6.0,1.2926835,673.84,11.0
1.5150841,3.0,1.8828042,1.799327,6.0,1.6198804,364.24225,27.0
1.3651481,7.0,1.8353511,1.4593565,6.0,0.037623666,299.53033,3.0
1.1687942,8.0,1.836288,1.9313804,3.0,2.5668612,176.3864,5.0
1.365225,3.0,1.1251434,1.1572669,5.0,2.974509,249.56198,8.0
1.3446001,3.0,1.623324,1.5071856,3.0,2.2886393,170.74167,18.0
1.3213737,4.0,1.0892131,1.996506,4.0,2.8863654,326.3378,4.0
1.5700364,4.0,1.4850293,1.5343423,7.0,1.904939,621.4316,12.0
1.5043392,4.0,1.8809468,1.6747453,8.0,0.8544048,299.60904,13.0
1.4587209,6.0,1.4657722,1.0870749,6.0,1.9445332,736.48737,18.0
1.3500748,9.0,1.7818236,1.2211361,6.0,1.6274562,442.17148,28.0
1.2575122,5.0,1.8765143,1.4524986,5.0,1.153638,66.65573,27.0
1.2763721,6.0,1.8564385,1.3543252,4.0,1.8681824,244.43643,3.0
1.0651081,9.0,1.9131484,1.9167161,4.0,2.4503,56.280605,6.0
1.4991344,7.0,1.7625413,1.0233581,7.0,0.15194489,510.54434,8.0
1.4776844,10.0,1.3906592,1.0411682,4.0,2.7323053,263.63406,24.0
1.4338627,9.0,1.9902318,1.9209679,8.0,0.094280235,195.55074,24.0
1.3305212,8.0,1.3248496,1.0531324,4.0,0.33215645,258.09018,7.0
1.1031152,10.0,1.0053333,1.976777,8.0,3.0730171,74.841286,3.0
1.485747,6.0,1.4988042,1.748937,7.0,0.29096884,431.23224,18.0
1.5456663,3.0,1.6973534,1.5885432,5.0,1.547456,883.2015,6.0
1.3653042,11.0,1.9277326,1.9228166,6.0,2.6029665,755.6495,12.0
1.4433773,9.0,1.5283555,1.2838507,4.0,1.1230526,871.7976,19.0
1.306437,5.0,1.980025,1.0804911,7.0,0.93485147,975.1387,19.0
1.505575,7.0,1.5326653,1.1596079,5.0,1.9037397,270.86807,19.0
1.5228077,5.0,1.5240468,1.4068313,7.0,2.745136,978.598,11.0
1.6226695,8.0,1.1821436,1.630382,4.0,1.1325779,678.9562,25.0
1.5786105,5.0,1.265934,1.9712623,5.0,0.28540787,963.4083,9.0
1.2068503,11.0,1.8403195,1.8288416,6.0,1.298883,809.52185,17.0
1.6288302,9.0,1.1329584,1.9986671,6.0,1.521184,392.05618,21.0
1.3069715,10.0,1.8008454,1.2033296,7.0,3.1349404,876.95807,17.0
1.4433483,7.0,1.395492,1.4513968,7.0,3.0288634,498.18478,27.0
1.3147304,10.0,1.4409448,1.260238,7.0,0.13488892,558.3754,28.0
1.3579785,5.0,1.9396849,1.7762372,7.0,0.9076006,984.1673,13.0
1.4133389,10.0,1.7544321,1.6239822,6.0,0.37368977,293.44556,27.0
1.4589796,4.0,1.2361507,1.9151734,7.0,0.48732457,140.64601,26.0
1.6071552,10.0,1.1094044,1.9431956,4.0,1.6195537,308.98264,19.0
1.4502527,3.0,1.658813,1.0222481,7.0,0.051389124,590.9774,7.0
1.2161329,10.0,1.5225878,1.8875879,3.0,2.0646877,129.86113,15.0
1.513366,9.0,1.0184258,1.8652327,4.0,2.9420147,752.40063,4.0
1.4790792,11.0,1.4193814,1.2596304,3.0,0.8973016,310.40552,19.0
1.396382,3.0,1.4346104,1.2795981,8.0,0.5465568,996.8472,17.0
1.5830007,8.0,1.1050701,1.6187747,7.0,0.27901623,522.03876,11.0
1.1098368,6.0,1.0857706,1.982691,6.0,2.0898921,69.51031,15.0
1.5545385,7.0,1.359103,1.8491576,4.0,1.523206,787.14404,22.0
1.522323,4.0,1.4845603,1.0911845,4.0,3.0046303,668.80615,17.0
1.4788097,8.0,1.0452466,1.1237934,8.0,1.4657732,833.0809,17.0
1.4098538,9.0,1.1630225,1.522043,8.0,2.6403718,164.21251,20.0
1.5245112,9.0,1.4667236,1.338849,4.0,2.529475,574.8407,15.0
1.3927695,7.0,1.7570606,1.4318033,7.0,2.0107024,243.06546,12.0
1.413702,10.0,1.0332764,1.0557393,6.0,2.9269767,798.54944,20.0
1.3830024,11.0,1.4985055,1.5645614,6.0,3.0240543,972.2284,21.0
1.5171441,4.0,1.4173176,1.7287209,7.0,0.85274804,319.29056,28.0
1.5831032,10.0,1.2229712,1.592974,4.0,2.991519,677.1532,25.0
1.574951,4.0,1.4109404,1.7667035,4.0,1.2284162,583.2967,22.0
1.3658403,5.0,1.6338608,1.7791368,4.0,0.6323281,448.63254,3.0
1.1409601,10.0,1.9339981,1.2099719,6.0,1.9469584,851.4093,28.0
1.394323,7.0,1.2129103,1.3017013,7.0,1.2114106,897.6437,20.0
0.98357224,10.0,1.5287797,1.2682664,7.0,2.6463535,990.36255,23.0
1.6709572,10.0,1.0753117,1.5890834,7.0,1.7990158,414.9705,15.0
1.5828553,3.0,1.1782093,1.9769888,8.0,1.7999277,533.47974,12.0
1.4793358,3.0,1.8144062,1.5915576,5.0,0.6887549,946.98694,16.0
1.4898192,3.0,1.7355177,1.8590639,4.0,2.84025,722.51324,8.0
1.388664,4.0,1.9062546,1.3463823,6.0,0.9822304,472.3781,4.0
1.2216512,10.0,1.8371699,1.7645695,7.0,0.73820114,138.51031,11.0
1.5541646,4.0,1.026136,1.2263886,5.0,2.6555116,626.3925,26.0
1.5149921,4.0,1.3451093,1.3316028,3.0,0.13275619,970.8106,21.0
1.3260286,8.0,1.4840258,1.1509467,8.0,0.55610967,714.8241,21.0
1.5174692,4.0,1.5671825,1.8433404,4.0,2.4691205,978.9492,17.0
1.5702925,6.0,1.1004859,1.2309625,6.0,0.41263407,580.32556,20.0
1.6114705,8.0,1.2061441,1.3594625,4.0,1.9771254,506.70438,24.0
1.5266181,6.0,1.9895403,1.4106497,4.0,0.93231016,473.41373,13.0
1.5838565,9.0,1.0412557,1.3205805,6.0,2.6850386,292.78693,26.0
1.6022379,10.0,1.1946417,1.1926038,5.0,2.0929017,643.36725,5.0
1.2376639,10.0,1.746544,1.8019816,5.0,1.9136888,484.26752,26.0
1.4012614,3.0,1.0803131,1.5692286,8.0,1.9728448,875.5833,27.0
1.5742927,9.0,1.5131502,1.6000109,4.0,1.9868791,847.0654,16.0
1.5388094,7.0,1.646446,1.4123025,4.0,2.3844905,791.53973,4.0
1.4606355,9.0,1.1599488,1.2095349,7.0,2.0217614,217.01282,14.0
1.4788537,9.0,1.801176,1.2520393,4.0,0.18308067,326.63132,16.0
1.6269019,10.0,1.1347615,1.6554819,6.0,1.2647141,874.23267,13.0
1.503905,4.0,1.9948384,1.5367585,5.0,1.8375,732.10126,5.0
1.6501203,10.0,1.2652245,1.9400789,8.0,1.1155968,580.9725,8.0
1.5625364,4.0,1.0152881,1.5014026,4.0,3.0608177,760.6968,26.0
1.3916055,9.0,1.356448,1.7720268,6.0,2.0487092,859.4746,27.0
1.5479466,8.0,1.3177524,1.2697586,5.0,2.3678625,549.0526,5.0
1.4682723,10.0,1.1695447,1.5780871,5.0,2.9476612,422.13165,5.0
1.0563076,9.0,1.0702376,1.5991882,4.0,2.4772635,75.3149,12.0
1.3044835,8.0,1.7843492,1.4032373,5.0,2.0959663,894.23016,20.0
1.3639008,3.0,1.429733,1.9907635,8.0,0.8450772,766.46655,25.0
1.4782948,5.0,1.420113,1.7983642,5.0,2.52347,789.87,21.0
1.2564646,3.0,1.9449886,1.7461646,4.0,0.22153759,314.1506,3.0
1.146882,5.0,1.6284428,1.109947,5.0,2.1680715,76.76306,12.0
1.4090894,3.0,1.949438,1.7812047,5.0,2.024352,667.6962,29.0
1.1226398,6.0,1.9357888,1.2362705,6.0,1.6261532,932.28076,25.0
1.3458625,7.0,1.5083427,1.1090475,7.0,1.8856721,986.00244,18.0
1.3973861,8.0,1.9966416,1.4355941,5.0,0.462774,147.66591,25.0
1.4871378,5.0,1.9636308,1.833655,3.0,1.5521846,905.139,23.0
1.5301961,3.0,1.7582297,1.76247,3.0,0.7874161,474.18884,24.0
1.4653829,3.0,1.834379,1.1829723,7.0,1.177391,254.11705,26.0
1.5048112,4.0,1.7911785,1.5313872,5.0,2.2261102,934.41785,9.0
1.36567,4.0,1.6087284,1.4903053,3.0,1.6353835,161.68819,26.0
1.6190292,9.0,1.0933993,1.3841587,3.0,2.7625098,995.3613,6.0
